State,Participation,English,Math,Reading,Science,Composite
National,36,19,19.3,20.4,19.9,19.8
Alabama ,100,17.3,17.4,18.5,18.2,18
Alaska ,14,19.3,20,21.4,20.4,20.4
Arizona ,64,17.3,18.5,18.8,18.5,18.4
Arkansas ,93,18.3,18.1,19.2,19.1,18.8
California ,4,26.9,25.6,27.3,25.8,26.5
Colorado ,15,23,22.4,24,23,23.2
Connecticut ,9,26.8,25.3,27.1,25.7,26.3
Delaware ,5,25.3,23.6,26.1,24.3,24.9
District of Columbia ,18,27.4,25.2,28.2,26,26.9
Florida ,46,18.5,18.4,20,18.8,19
Georgia ,30,21,20.8,22.5,21.5,21.6
Hawaii ,53,17.6,18.6,19.4,19.1,18.8
Idaho ,15,22.3,22.2,23.7,22.6,22.8
Illinois ,18,24.8,23.7,25.2,24,24.5
Indiana ,13,22.1,22.5,23.7,22.5,22.8
Iowa ,49,20.4,20.6,22.3,21.6,21.4
Kansas ,73,18.9,19.4,20.6,20.1,19.9
Kentucky ,96,17.8,18,19.2,18.7,18.6
Louisiana ,100,17.6,17.4,18.6,18.3,18.1
Maine ,2,25.2,23.7,26.2,24.6,25.1
Maryland ,8,24.6,23,25.4,23.9,24.4
Massachusetts ,9,26.6,25.6,27.3,25.8,26.5
Michigan ,8,24.7,23.9,25.2,24.2,24.6
Minnesota ,69,19.7,20.7,21.7,21.4,21
Mississippi ,100,17.2,17.4,18.2,18,17.8
Missouri ,66,19.5,19.5,21,20.4,20.2
Montana ,94,18,19,20.1,19.5,19.3
Nebraska ,94,18.6,19.1,19.8,19.6,19.4
Nevada ,100,16.1,17.1,17.8,17.6,17.3
New Hampshire ,5,25.7,25,26.5,25.2,25.7
New Jersey ,12,24.9,23.9,25.1,24,24.6
New Mexico ,20,18.7,19.1,20.9,20.1,19.8
New York ,10,25.2,24.6,26,25,25.3
North Carolina ,88,17.1,18.5,19.2,18.8,18.5
North Dakota ,96,17.9,19.1,19.7,19.6,19.2
Ohio ,82,18.2,19.2,20,19.7,19.4
Oklahoma ,94,17,17.3,18.6,18.2,17.9
Oregon ,7,22.5,22,24.2,22.8,23
Pennsylvania ,7,24.3,23.7,25.2,24,24.4
Rhode Island ,5,25.3,24,26.2,24.7,25.2
South Carolina ,40,17.8,18.5,19.6,19.1,18.9
South Dakota ,58,20.5,21.2,22.2,21.7,21.5
Tennessee ,100,18,18.1,19,18.6,18.6
Texas ,22,18.7,19.5,20.4,19.9,19.8
Utah ,91,18.9,19.4,20.6,20.2,19.9
Vermont ,8,23.4,22.4,25,23.5,23.7
Virginia ,9,24.6,23.5,25.7,24.3,24.6
Washington ,7,24.3,23.6,25.6,24.3,24.6
West Virginia ,28,20.2,19.4,21.4,20.4,20.5
Wisconsin ,93,18.3,19.3,19.7,19.8,19.4
Wyoming ,100,18.1,18.9,20,19.5,19.2